"transcription","cost_threshold","train","validate","recall","precision"
"b-e-r-s_cm",1,1,0,1.0,1.0
"i-n-c-l-o-s-i-n-g",4.707722324409047,1,0,1.0,1.0
"d-a-y-s_pt",2.001275740514003,1,0,1.0,1.0
"f-e-r-g-u-s-o-n",8.837732593860455,1,0,1.0,1.0
"w-a-s",1.2030217548756152,3,7,0.3333333333333333,1.0
"s-e-n-t",2.301810772493945,5,4,0.2,1.0
"a-f-t-e-r",2.915747444126048,2,1,0.5,1.0
"y-o-u-s_cm",1,1,0,1.0,1.0
"b-u-t",2.6552949446621574,2,5,0.5,1.0
"f-a-l-l-i-n-g",4.9945815452762625,1,0,1.0,1.0
"i-l-l-s_cm",1,1,0,1.0,1.0
"s-o-r-e",1.2898084848977356,1,0,1.0,1.0
"a-r-m-s_cm",1,1,0,1.0,1.0
"h-e-r-e-s_cm",2.7447573080423906,4,0,0.25,1.0
"n-o-w",1.9400717269262497,6,2,0.16666666666666666,1.0
"r-e-m-a-i-n-s",8.75479079385977,2,0,0.5,1.0
"u-n-f-i-t",2.9446308106190586,1,0,1.0,1.0
"d-u-t-y-s_qo",1.8527610215533423,1,0,1.0,1.0
"t-h-e-r-e-f-o-r-e",5.794673600940591,1,0,1.0,1.0
"r-o-o-m-s_pt",6.992239389527955,1,0,1.0,1.0
"c-l-o-t-h-i-n-g",8.493448051183865,3,0,0.3333333333333333,1.0
"c-o-m-p-l-e-t-e",6.268224764975218,3,0,0.3333333333333333,1.0
"c-o-m-p-a-s_mi",4.41910144000926,1,0,1.0,1.0
"n-y",1,1,0,1.0,1.0
"e-s-t-a-b-l-i-s-h-m-e-n-t-s_pt",17.14933619218543,1,0,1.0,1.0
"e-n-l-i-s-t-e-d",3.2878800730607596,1,0,1.0,1.0
"t-h-r-e-e",3.0045771387489237,1,0,1.0,1.0
"m-a-r-c-h-s_cm",6.6147030418229305,1,0,1.0,1.0
"o-r-s_mi",1,1,1,1.0,0.16666666666666666
"d-e-r-e-d",1.5165548480225528,1,0,1.0,1.0
"o-t-h-e-r-s-s_cm",2.8985400274221105,3,0,0.3333333333333333,1.0
"j-o-i-n",2.7283295674425756,3,0,0.3333333333333333,1.0
"y-o-u-s_sq",1.5722105012902423,1,0,1.0,1.0
"b-e-i-n-g",3.2788261412508843,3,3,0.3333333333333333,1.0
"d-e-s-i-r-e-d",7.468086151064065,3,0,0.3333333333333333,1.0
"t-a-k-e",2.7836031788577147,4,0,0.25,1.0
"c-a-r-e",2.3697000688328833,1,0,1.0,1.0
"c-o-m-p-a-n-y-s_sq",8.176129722581251,2,0,0.5,1.0
"a-l-l-o-w-e-d-s_pt",4.179134783000759,1,0,1.0,1.0
"u-s-e",1.0217111077585737,4,0,0.25,1.0
"e-n-d-e-a-v-o-u-r-s",9.53451415833717,1,0,1.0,1.0
"s-e-c-u-r-e",3.670453703979229,1,0,1.0,1.0
"p-r-o-v-i-s-i-o-n-s-s_cm",10.211583326236648,2,0,0.5,1.0
"m-o-s-t",6.931337397026586,3,0,0.3333333333333333,1.0
"n-e-e-d-f-u-l",5.970688104970481,1,0,1.0,1.0
"s_qo-s_mi",1,1,0,1.0,1.0
"i-m-p-o-s_s-s-i-s_mi",3.408928285923664,1,0,1.0,1.0
"b-l-e",1,1,0,1.0,1.0
"d-i-r-e-c-t",3.950174153734962,1,1,1.0,1.0
"d-i-s-t-a-n-c-e-s_cm",4.909041692936061,1,0,1.0,1.0
"p-r-o-p-e-r-l-y-s_pt",6.778487516303388,1,0,1.0,1.0
"w-e",1.0880006982145145,2,9,0.5,1.0
"c-o-n-t-r-a-c-t-e-d",8.84136482071535,1,1,1.0,1.0
"l-a-r-g-e",2.0327271791128547,1,0,1.0,1.0
"q-u-a-n-t-i-t-y",7.066486254922068,3,0,0.6666666666666666,0.6666666666666666
"b-e-e-f",3.790218294450467,1,0,1.0,1.0
"a-l-r-e-a-d-y-s_cm",6.296580627182957,1,0,1.0,1.0
"e-n-g-a-g-e",4.145798387320846,3,1,0.3333333333333333,1.0
"m-o-r-e",4.969005621032261,2,3,0.5,1.0
"t-h-a-n",3.260476261491423,3,3,0.3333333333333333,1.0
"s-u-f-f-i-c-e",6.944558977418483,1,0,1.0,1.0
"o-w-n",2.1073378431372847,1,1,1.0,1.0
"c-o-m-p-a-n-y-s_pt",7.985718070627709,2,0,0.5,1.0
"s-h-a-l-l",4.137630051845485,3,5,0.3333333333333333,1.0
"l-o-d-g-e-d",5.371346411718123,1,0,1.0,1.0
"m-r-s_pt",3.0787121185877977,4,1,0.25,1.0
"d-i-c-k",4.014990892548233,2,0,0.5,1.0
"u-s-u-a-l",4.834850061555006,1,0,1.0,1.0
"s-t-o-p-p-a-g-e-s",8.574960343442331,1,0,1.0,1.0
"m-e-n-s",5.132395851245949,1,0,1.0,1.0
"w-h-i-l-e",3.1737137542436207,1,1,1.0,1.0
"h-o-s-p-i-t-a-l-s_cm",8.4587563251191,1,0,1.0,1.0
"a-n-s-w-e-r",7.148046453241227,1,0,1.0,1.0
"e-x-p-e-n-c-e",6.87067160423447,1,0,1.0,1.0
"n-u-r-s-e-s-s_cm",8.716049705264647,1,0,1.0,1.0
"v-e-r-y",1.5601270053127634,4,1,0.25,1.0
"c-a-r-e-f-u-l",6.42530909653196,2,1,0.5,1.0
"s-l-i-p",1.874567427825756,1,0,1.0,1.0
"o-p-p-o-r-t-u-n-i-t-y",9.259773493871977,1,2,1.0,1.0
"p-u-r-c-h-a-s-i-n-g",12.247955314603109,2,0,0.5,1.0
"g-r-a-i-n",4.537878456538043,1,0,1.0,1.0
"d-e-p-e-n-d-a-n-c-e",13.242761176170164,1,0,1.0,1.0
"s_2-s_7-s_3-s_pt",1,1,0,1.0,1.0
"b-r-e-a-d-s_sq",6.090144986384716,1,0,1.0,1.0
"c-o-m-m-i-s_s-s-a-r-y",8.62916640621095,4,0,0.25,1.0
"h-a-v-i-n-g",5.033578116370112,2,2,0.5,1.0
"m-a-k-e",5.03570098744498,5,0,0.2,1.0
"p-r-o-v-i-s-i-o-n-s",8.669188269366135,1,0,1.0,1.0
"a-n-y",1.4194556453813179,8,5,0.125,1.0
"d-e-s-e-r-t",4.26460565171132,1,0,1.0,1.0
"d-i-e-s_cm",1.3738198300997886,2,0,0.5,1.0
"r-e-c-r-u-i-t",8.671925126801709,2,0,0.5,1.0
"k-e-e-p-i-n-g",5.3890486221561975,1,0,1.0,1.0
"e-s-t-a-s_mi",3.831897910886549,1,0,1.0,1.0
"b-l-i-s-h-m-e-n-t-s_pt",10.225463720349913,1,0,1.0,1.0
"l-i-e-u-t-e-n-a-n-t",9.64907011809829,7,0,0.14285714285714285,1.0
"b-a-c-o-n",5.070166580776113,1,0,1.0,1.0
"m-a-r-y-l-a-n-d",10.65615305622604,1,1,1.0,1.0
"i-n-d-e-p-e-n-d-a-n-t",16.796138299676098,1,0,1.0,1.0
"t-h-o-s-e",2.0567412568101315,4,4,0.25,1.0
"s-t-o-c-k-a-d-e-s",7.4169167567802035,1,0,1.0,1.0
"p-a-t-t-e-r-s-o-n-s",7.217404971733037,1,0,1.0,1.0
"c-r-e-e-k-s_cm",1.683545649145238,1,0,1.0,1.0
"i-n-t-e-n-d-e-d",6.376193881557161,1,1,1.0,1.0
"w-a-y",1,1,1,1.0,1.0
"c-o-v-e-r",1,1,0,1.0,1.0
"r-a-n-g-e-r-s-s_cm",3.3820153364662655,1,0,1.0,1.0
"r-e-c-e-p-t-a-c-l-e",9.447870121682437,1,0,1.0,1.0
"t-h-e-n",1.2559559744037494,1,0,1.0,1.0
"p-r-o-v-i-s-i-o-n-s-s_sq",8.90983393974931,1,1,1.0,1.0
"p-l-a-n",2.455755907836436,1,0,1.0,1.0
"w-o-r-k-s_cm",1.0987523093276041,1,0,1.0,1.0
"r-e-q-u-i-r-e-s",3.0410592088944783,1,0,1.0,1.0
"m-u-c-h",1.8223772982222373,2,2,0.5,1.0
"e-x-e-c-u-t-e-s_pt",7.136187851379869,1,0,1.0,1.0
"n-e-i-t-h-e-r",5.946294225570113,1,1,1.0,1.0
"n-o-r",1.01917803889536,1,0,1.0,1.0
"t-o-o-l-s-s_cm",3.3047113794776495,1,0,1.0,1.0
"u-n-d-e-r-t-a-k-i-n-g",10.079859611407413,1,0,1.0,1.0
"v-i-g-o-u-r-s_pt",2.805442808824978,1,0,1.0,1.0
"a-m",2.0292667762312595,2,3,0.5,1.0
"s_2-s_9th-s_pt",1.3567062487587143,6,0,0.3333333333333333,0.6666666666666666
"a-d-a-m",4.766357738114211,1,0,1.0,1.0
"s-t-e-p-h-e-n-s_cm",5.196357241278593,1,0,1.0,1.0
"s-o-o-n",1.946951937498214,7,0,0.14285714285714285,1.0
"w-a-g-g-o-n-s",6.54391492643676,2,0,0.5,1.0
"a-l-e-x-a-n-d-r-i-a",12.747235062771576,2,0,0.5,1.0
"c-u-m-b-e-r-l-a-n-d-s_cm",8.979322998994537,4,0,0.25,1.0
"c-o-m-p-l-e-t-e-l-y",9.523762359263275,1,0,1.0,1.0
"f-u-r-n-i-s-h-e-d",7.645914831856883,1,0,1.0,1.0
"b-o-t-h-s_sq",3.17037905011713,2,0,0.5,1.0
"m-a-r-c-h",6.416597515810779,3,0,0.3333333333333333,1.0
"t-h-e-m",3.932182384834113,6,3,0.16666666666666666,1.0
"c-u-m-b-e-r-l-a-n-d-s_sq",9.696224176860639,1,0,1.0,1.0
"o-b-s-e-r-v-i-n-g",8.633910899106416,1,0,1.0,1.0
"u-p",1.335288666180335,6,4,0.16666666666666666,1.0
"s-a-l-t",1.930220888015488,1,0,1.0,1.0
"w-a-g-g-o-n-s-s_cm",6.869424677485256,1,0,1.0,1.0
"p-r-o-v-i-d-e-d",9.99161494886747,1,0,1.0,1.0
"c-o-m-m-i-s_s-s-a-r-y-s_cm",11.257376704451191,1,0,1.0,1.0
"c-a-r-r-y-s_pt",1.9579332477692133,1,0,1.0,1.0
"c-o-m-e",6.003405858244948,1,0,1.0,1.0
"s-o-m-e",1.9590906964997286,4,3,0.25,1.0
"c-o-u-n-t-r-y",9.017219351030896,2,1,0.5,1.0
"w-a-g-s_mi",2.2530343753614495,1,0,1.0,1.0
"g-o-n-s-s_cm",1.7128515006327287,1,0,1.0,1.0
"a-l-s-o",1.0448165253648884,8,1,0.125,1.0
"l-o-a-d-e-d",4.534911783557762,1,0,1.0,1.0
"s-a-l-t-s_pt",1.742768092213022,1,1,1.0,1.0
"w-a-n-t-i-n-g",8.188096434890882,1,1,1.0,1.0
"p-u-r-p-o-s-e",5.908581535896439,1,0,1.0,1.0
"f-o-r-t-y",1.8758673409326718,1,0,1.0,1.0
"c-o-a-t-s-s_cm",4.802344539726471,2,0,0.5,1.0
"t-h-i-r-t-y",3.081070503301329,3,0,0.3333333333333333,1.0
"n-i-n-e",1.603997405810641,2,0,0.5,1.0
"w-a-i-s-t-c-o-a-t-s-s_cm",11.964584549036795,2,0,0.5,1.0
"f-i-f-t-y",1.605505887110882,1,1,1.0,1.0
"s-i-x",1.428426617408983,2,0,0.5,1.0
"p-a-i-r",2.715859092229343,3,0,0.3333333333333333,1.0
"b-r-e-e-c-h-e-s-s_sq",7.170475447112361,1,0,1.0,1.0
"h-a-t-s",3.1261460917283372,1,0,1.0,1.0
"e-i-g-h-t-y",1.8776407011318255,1,0,1.0,1.0
"s-h-i-r-t-s-s_sq",5.479935912829711,1,0,1.0,1.0
"s_2-s_7-s_4-s_pt",4.596222527888686,1,0,1.0,1.0
"o-u-t",1.7792210646414572,4,0,0.25,1.0
"c-o-m-p-a-n-i-e-s-s_cm",9.655521146940863,2,1,0.5,1.0
"a-c-c-o-r-d-i-n-g",6.469212493954358,1,0,1.0,1.0
"m-e",3.4739625733888797,2,5,0.5,1.0
"c-u-m-s_mi",4.540792124273189,1,0,1.0,1.0
"b-e-r-l-a-n-d-s_cm",6.038383352448137,1,0,1.0,1.0
"s-u-i-t-s",3.0458770624236147,1,0,1.0,1.0
"n-e-c-e-s_s-s-a-r-y-s_cm",4.925799362453723,1,0,1.0,1.0
"c-a-s-e",1,1,0,1.0,1.0
"g-e-t-t-i-n-g",1.7113013519894924,1,0,1.0,1.0
"l-o-d-g-i-n-g",3.0695138690067223,1,0,1.0,1.0
"b-a-r-r-a-c-k-s",5.827761561668168,1,0,1.0,1.0
"f-u-l-l-s_pt",3.578819700815483,1,0,1.0,1.0
"w-i-l-s_mi",1.7652190943936397,1,0,1.0,1.0
"p-e-r",1.2783708703988852,3,0,0.3333333333333333,1.0
"w-a-i-t-i-n-g",4.437231845104941,1,0,1.0,1.0
"f-o-r-t-s_cm",1.7152664708029062,1,0,1.0,1.0
"n-e-c-e-s_s-s-a-r-i-e-s",7.440399550091356,2,1,0.5,1.0
"a-r-r-i-v-e-s_cm",3.395405024264245,2,0,0.5,1.0
"r-e-c-e-i-v-e-s",7.018253377173396,1,0,1.0,1.0
"s-u-c-h",3.548843902529517,4,2,0.75,1.0
"t-h-i-n-g-s",3.711982522756326,1,1,1.0,1.0
"f-o-r-s_cm",1,1,0,1.0,1.0
"d-i-s-p-a-t-c-h",5.340388078661657,2,0,0.5,1.0
"h-i-m",3.549809438110529,4,1,0.25,1.0
"i-m-m-e-d-i-a-t-e-l-y-s_pt",10.66908965328277,1,0,1.0,1.0
"o-t-h-e-r",4.147999692185464,2,3,0.5,1.0
"h-o-r-s-e-s-s_cm",2.4140676408229296,1,0,1.0,1.0
"b-e-l-o-n-g-s_mi",1.5664194910929883,1,0,1.0,1.0
"i-n-g",1,1,1,1.0,1.0
"c-o-u-n-t-r-y-s_cm",5.1774738334410895,2,0,0.5,1.0
"h-a-d",3.177951450213574,1,5,1.0,1.0
"t-e-a-m-s",4.893233727191535,1,0,1.0,1.0
"s-t-o-p-p-e-d-s_cm",4.462365561834358,1,0,1.0,1.0
"h-o-r-s-e-s",2.3323216281517727,1,0,1.0,1.0
"g-i-v-e-n",2.6526145763752207,5,1,0.2,1.0
"h-e-r-d-s-m-e-n",8.893621869342946,1,0,1.0,1.0
"r-e-m-a-i-n",6.587523649228345,1,0,1.0,1.0
"c-a-t-t-l-e-s_cm",3.259931408519134,1,0,1.0,1.0
"h-e-a-r",2.9259079250470434,1,1,1.0,1.0
"c-o-m-s_mi",1.9556121723947586,2,0,0.5,1.0
"m-i-s_s-s-a-r-y",5.248904586571227,1,0,1.0,1.0
"c-o-o-p-e-r-s",6.396283595707682,2,0,0.5,1.0
"b-a-r-r-e-l-s",4.567812231053126,1,0,1.0,1.0
"p-a-c-k-i-n-g",6.077108212817845,1,0,1.0,1.0
"b-e-e-f-s_sq",2.118601780739354,1,0,1.0,1.0
"s-o-l-d-i-e-r-s",5.017790730424595,1,0,1.0,1.0
"c-o-o-p-e-r-s-s_cm",8.160241522858248,1,0,1.0,1.0
"s-e-t",1.6217591777125357,1,0,1.0,1.0
"i-m-s_mi",1.403953951043551,1,1,1.0,1.0
"m-e-d-i-a-t-e-l-y",7.7654835609742445,1,0,1.0,1.0
"w-o-r-k-s_pt",3.6551752234130355,1,0,1.0,1.0
"s-t-o-r-e-s",2.8254016459782467,1,0,1.0,1.0
"h-e-r-e",2.193784072994131,3,2,0.3333333333333333,1.0
"p-o-u-n-d-s",7.389936514083711,1,0,1.0,1.0
"g-o-o-s-e",1.8260175529032248,1,0,1.0,1.0
"d-e-l-i-v-e-r",8.552065139908436,4,0,0.25,1.0
"a-s-h-b-y-s_qt-s",3.758661974242586,1,0,1.0,1.0
"p-a-s_s-s",2.07714165746268,1,1,1.0,1.0
"b-y-s_cm",1,1,0,1.0,1.0
"d-i-r-e-c-t-i-n-g",6.392163672328585,1,0,1.0,1.0
"p-a-r-t-i-c-u-l-a-r-l-y",11.838202268130548,1,1,1.0,1.0
"c-a-r-e-s_mi",2.134250186827681,1,0,1.0,1.0
"f-u-l",1,1,0,1.0,1.0
"e-i-t-h-e-r",4.640590638679007,1,0,1.0,1.0
"c-a-p-t-a-i-n-s",6.18983636525568,1,0,1.0,1.0
"r-a-n-g-e-r-s",5.217818569509898,1,0,1.0,1.0
"a-p-p-l-y",3.0569915763287883,2,0,0.5,1.0
"a-m-m-u-s_mi",3.7344718088497446,1,0,1.0,1.0
"n-i-t-i-o-n-s_cm",4.554968753741154,1,0,1.0,1.0
"s-u-p-p-l-y",5.605300473357507,1,0,1.0,1.0
"f-o-r-t-s_pt",3.235088482486267,1,0,1.0,1.0
"d-r-u-m-s_cm",3.074444775832668,1,0,1.0,1.0
"w-i-l-p-e-r-s_cm",4.321901481995304,3,0,0.3333333333333333,1.0
"r-o-o-m",3.901160583113633,1,0,1.0,1.0
"d-u-n-c-a-n",7.086171015509247,1,0,1.0,1.0
"f-e-r-g-u-s-o-n-s_cm",6.87067160423447,1,0,1.0,1.0
"s_2-s_7-s_5-s_pt",1,1,0,1.0,1.0
"c-u-m-b-e-r-l-a-n-d-s_pt",13.64492057189091,2,0,0.5,1.0
"r-e-g-i-m-e-n-t",6.8550540480574504,1,1,1.0,1.0
"e-x-e-r-s_mi",1.0569183631716927,1,0,1.0,1.0
"c-i-s-e-d",1.7429802389555524,1,0,1.0,1.0
"o-f-t-e-n",2.4266460650753614,1,1,1.0,1.0
"e-v-e-r-y",1.3422084285549405,3,1,0.3333333333333333,1.0
"d-a-y",1.3545565398691184,4,1,0.25,1.0
"d-u-t-y",1.938457399600559,1,0,1.0,1.0
"a-d-m-i-t-s_sq",5.1829003213855245,1,0,1.0,1.0
"p-r-a-c-t-i-s-e-d",9.561782725717542,1,0,1.0,1.0
"s-h-o-o-t-i-n-g",7.30685064398704,1,0,1.0,1.0
"t-a-r-s_mi",1,1,0,1.0,1.0
"g-e-t-s-s_sq",1,1,0,1.0,1.0
"r-e-m-a-r-k-a-b-l-y",12.959361612166889,1,0,1.0,1.0
"a-w-k-w-a-r-d-s_cm",6.034113036729741,1,0,1.0,1.0
"p-a-r-t-i-c-u-l-a-r",8.145416083768195,3,1,0.3333333333333333,1.0
"p-a-i-n-s",3.6087036192104867,1,0,1.0,1.0
"t-a-k-e-n",3.5919485644922577,1,0,1.0,1.0
"t-h-e-m-s_pt",1.5700964540501294,1,1,1.0,1.0
"o-b-s-e-r-v-e",5.974728285046954,1,0,1.0,1.0
